
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     13     2.64      14.93       0.00    4232   0 svchost
     11     2.06      12.35       0.00    4240   0 svchost
     12     2.29      10.95       0.00    4276   0 svchost
      8     1.27       7.97       0.00    4392   0 svchost
     28    31.41      66.82       0.00    4404   0 svchost
     31     5.65      24.34       0.00    4412   0 svchost
     22    44.09      60.78       0.00    4456   0 svchost
     20     3.39      15.95       0.00    4656   0 svchost
      8     1.62       8.00       0.00    4772   0 svchost
     11     2.25      11.91       0.00    5140   0 svchost
     18    10.01      24.07       0.00    5212   0 svchost
     20     4.86      26.02       0.00    5336   0 svchost
     12     2.65      11.86       0.00    5736   0 svchost
     12     3.24      16.57       0.00    6392   0 svchost
     13     2.88      15.30       0.00    6600   0 svchost
     10     2.03      11.92       0.00    6644   0 svchost
      9     1.82      10.29       0.00    6748   0 svchost
     17     7.78      25.75       0.00    7044   0 svchost
      8     1.32       7.48       0.00    7360   0 svchost
     18     4.61      26.16       0.00    7568   0 svchost
     11     1.76       9.97       0.00    7576   0 svchost
     13     3.32      22.45       4.25    8448   1 svchost
     10     2.20      15.52       0.97    8632   1 svchost
     20     8.23      38.71       8.80    8644   1 svchost
      9     2.02      11.14       0.50    8708   1 svchost
     21     9.62      45.38      13.05    8764   1 svchost
     15     7.86      30.62       0.00    8820   0 svchost
     18    24.16      37.28       0.00    9020   0 svchost
     14     2.85      16.71       0.00    9316   0 svchost
     25     5.49      24.06       0.00    9404   0 svchost
     19    10.18      33.02       0.00   10004   0 svchost
     13     3.65      25.02       2.55   10116   1 svchost
     11     2.07      10.63       0.00   10144   0 svchost
     15     3.88      24.02       0.73   10468   1 svchost
     16     2.84      10.76       0.00   10748   0 svchost
     17     4.05      27.74       0.00   11420   0 svchost
     18     3.16      12.75       0.00   12888   0 svchost
     42     1.79       9.80       0.00   13112   0 svchost
     13     6.57      17.25       0.00   14092   0 svchost
     26     4.01      18.45       0.00   15116   0 svchost
     36    12.50      33.05       0.00   15128   0 svchost
     14     7.04      20.68       0.00   17548   0 svchost
     10     2.14      10.29       0.00   17564   0 svchost
     21     8.05      33.58       0.00   17756   0 svchost
     26     8.44      29.42       0.00   18420   0 svchost
     13     3.36      15.51       0.00   19032   0 svchost
     13     2.96      16.41       1.23   19172   1 svchost
     15     3.69      16.67       0.00   19260   0 svchost
     11     6.32      16.12       0.00   23656   0 svchost
     16     6.98      14.36       0.00   26080   0 svchost
      9     1.92       9.73       0.00   27212   0 svchost
      8     1.30       8.64       0.00   27428   0 svchost
      0     0.04       0.16       0.00       4   0 System
     69    82.43       2.78       1.53   26984   1 SystemSettings
     41     9.23      25.10       5.84    8208   1 taskhostw
     36    48.76     100.01      18.66    9264   1 TextInputHost
     33    28.06      41.24     516.20   18812   1 UnInstDaemon
     10     2.26      10.95       0.00    6708   0 unsecapp
      9     1.67      10.20       0.36    8128   1 unsecapp
      9     1.64       9.87       0.11   20020   1 unsecapp
     11     2.21      11.88       0.03    4340   1 UserOOBEBroker
    147   111.57     267.91      67.89   24476   1 WhatsApp.Root
     37    15.88      71.91      22.88   10436   1 Widgets
     20     5.44      29.03       2.39   10768   1 WidgetService
     12     1.52       8.58       0.00    1048   0 wininit
     13     2.72      16.32       0.00    1152   1 winlogon
      8     1.44       8.22       0.00    5280   0 WirelessKB850NotificationService
      9     1.56       8.86       0.00    7364   0 wlanext
     18     6.21      20.92       0.00    7064   0 WmiPrvSE
     15     3.00      16.39       0.00    5324   0 WMIRegistrationService
     12     7.43      12.66       0.00    1456   0 WUDFHost
     12     5.42      11.27       0.00    1620   0 WUDFHost
     28     8.84      22.65       0.00    2012   0 WUDFHost
     16     5.29      18.33       0.00    3000   0 WUDFHost
     14     2.88      12.44       0.00    3408   0 WUDFHost

